SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START_x,HOUR_APPR_PROCESS_START_x,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_ANNUITY,EXT_SOURCE_2,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,MOST_RECENT,DAYS_CREDIT_REC,MONTHS_BALANCE,STATUS,SK_ID_PREV,PREV_NAME_CONTRACT_TYPE,AMT_APPLICATION,WEEKDAY_APPR_PROCESS_START_y,HOUR_APPR_PROCESS_START_y,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,NAME_YIELD_GROUP,PREV_APP_COUNT,PREV_APP_BINS
100002,1,Cash loans,M,N,Y,0,202500.0,406597.5,Working,Secondary / secondary special,Single / not married,House / apartment,0.018801,-9461,-637,-3648.0,-2120,1,1,0,1,1,0,2,2,WEDNESDAY,10,0,0,0,0,0,0,Business Entity Type 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24700.5,0.2629485927471776,6158903.0,Active,currency 1,-1042.0,0.0,0.0,0.0,Consumer credit,-7.0,101-125,-103.0,-19.0,C,1038818.0,Consumer loans,179055.0,SATURDAY,9.0,Y,1.0,XAP,Approved,-606.0,XNA,XAP,New,Vehicles,POS,XNA,Stone,500.0,Auto technology,low_normal,1.0,0-10
100003,0,Cash loans,F,N,N,0,270000.0,1293502.5,State servant,Higher education,Married,House / apartment,0.0035409999999999,-16765,-1188,-1186.0,-291,1,1,0,1,1,0,1,1,MONDAY,11,0,0,0,0,0,0,School,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35698.5,0.6222457752555098,5885880.0,Active,currency 1,-606.0,0.0,0.0,0.0,Credit card,-43.0,More than 250,-606.0,,,1810518.0,Cash loans,900000.0,FRIDAY,12.0,Y,1.0,XNA,Approved,-746.0,XNA,XAP,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1.0,XNA,low_normal,3.0,0-10
100004,0,Revolving loans,M,Y,Y,0,67500.0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.010032,-19046,-225,-4260.0,-2531,1,1,1,1,1,0,2,2,MONDAY,9,0,0,0,0,0,0,Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6750.0,0.5559120833904428,6829134.0,Closed,currency 1,-408.0,0.0,0.0,0.0,Consumer credit,-382.0,More than 250,-408.0,,,1564014.0,Consumer loans,24282.0,FRIDAY,5.0,Y,1.0,XAP,Approved,-815.0,Cash through the bank,XAP,New,Mobile,POS,XNA,Regional / Local,30.0,Connectivity,middle,1.0,0-10
100006,0,Cash loans,F,N,Y,0,135000.0,312682.5,Working,Secondary / secondary special,Civil marriage,House / apartment,0.008019,-19005,-3039,-9833.0,-2437,1,1,0,1,0,0,2,2,WEDNESDAY,17,0,0,0,0,0,0,Business Entity Type 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29686.5,0.6504416904014653,,,,,,,,,,,,,,2078043.0,Cash loans,675000.0,THURSDAY,15.0,Y,1.0,XNA,Approved,-181.0,Cash through the bank,XAP,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1.0,XNA,low_normal,9.0,0-10
100007,0,Cash loans,M,N,Y,0,121500.0,513000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.028663,-19932,-3038,-4311.0,-3458,1,1,0,1,0,0,2,2,THURSDAY,11,0,0,0,0,1,1,Religion,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21865.5,0.3227382869704046,5987200.0,Closed,currency 1,-1149.0,0.0,0.0,0.0,Consumer credit,-783.0,More than 250,-1149.0,,,1692033.0,Cash loans,247500.0,MONDAY,11.0,Y,1.0,XNA,Approved,-374.0,Cash through the bank,XAP,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1.0,XNA,middle,6.0,0-10
100008,0,Cash loans,M,N,Y,0,99000.0,490495.5,State servant,Secondary / secondary special,Married,House / apartment,0.035792,-16941,-1588,-4970.0,-477,1,1,1,1,1,0,2,2,WEDNESDAY,16,0,0,0,0,0,0,Other,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27517.5,0.3542247319929012,6491434.0,Active,currency 1,-78.0,0.0,0.0,0.0,Consumer credit,-16.0,76-100,-78.0,,,1757431.0,Cash loans,0.0,FRIDAY,18.0,Y,1.0,XNA,Canceled,-82.0,XNA,XAP,Repeater,XNA,XNA,XNA,Credit and cash offices,-1.0,XNA,XNA,5.0,0-10
100009,0,Cash loans,F,Y,Y,1,171000.0,1560726.0,Commercial associate,Higher education,Married,House / apartment,0.035792,-13778,-3130,-1213.0,-619,1,1,0,1,1,0,2,2,SUNDAY,16,0,0,0,0,0,0,Business Entity Type 3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,41301.0,0.7239998516953141,5651010.0,Active,currency 1,-411.0,0.0,0.0,0.0,Consumer credit,-23.0,226-250,-239.0,,,2797899.0,Consumer loans,95841.0,WEDNESDAY,17.0,Y,1.0,XAP,Approved,-74.0,Cash through the bank,XAP,Repeater,Consumer Electronics,POS,XNA,Regional / Local,300.0,Consumer electronics,middle,7.0,0-10
100010,0,Cash loans,M,Y,Y,0,360000.0,1530000.0,State servant,Higher education,Married,House / apartment,0.0031219999999999,-18850,-449,-4597.0,-2379,1,1,1,1,0,0,3,3,MONDAY,16,0,0,0,0,1,1,Other,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42075.0,0.7142792864482229,5576630.0,Active,currency 1,-1138.0,0.0,0.0,0.0,Consumer credit,-18.0,More than 250,-1138.0,-2.0,C,2349489.0,Consumer loans,247212.0,TUESDAY,16.0,Y,1.0,XAP,Approved,-1070.0,Cash through the bank,XAP,New,Furniture,POS,XNA,Stone,8636.0,Furniture,low_action,1.0,0-10
100011,0,Cash loans,F,N,Y,0,112500.0,1019610.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.018634,-20099,365243,-7427.0,-3514,1,0,0,1,0,0,2,2,WEDNESDAY,14,0,0,0,0,0,0,XNA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33826.5,0.2057472880073281,5741085.0,Closed,currency 1,-1315.0,0.0,0.0,0.0,Consumer credit,-965.0,More than 250,-1309.0,,,2668005.0,Cash loans,0.0,WEDNESDAY,9.0,Y,1.0,XNA,Refused,-1162.0,Cash through the bank,LIMIT,Repeater,XNA,XNA,XNA,Credit and cash offices,-1.0,XNA,XNA,4.0,0-10
100012,0,Revolving loans,M,N,Y,0,135000.0,405000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.0196889999999999,-14469,-2019,-14437.0,-3992,1,1,0,1,0,0,2,2,THURSDAY,8,0,0,0,0,0,0,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250.0,0.7466436294590924,,,,,,,,,,,,,,2020951.0,Cash loans,0.0,TUESDAY,13.0,Y,1.0,XNA,Canceled,-107.0,XNA,XAP,Repeater,XNA,XNA,XNA,Credit and cash offices,-1.0,XNA,XNA,4.0,0-10
100014,0,Cash loans,F,N,Y,1,112500.0,652500.0,Working,Higher education,Married,House / apartment,0.0228,-10197,-679,-4427.0,-738,1,1,0,1,0,0,2,2,SATURDAY,15,0,0,0,0,0,0,Medicine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21177.0,0.6518623334244781,5326772.0,Active,currency 1,-423.0,0.0,0.0,0.0,Consumer credit,-25.0,More than 250,-376.0,,,2006578.0,Consumer loans,73800.0,TUESDAY,14.0,Y,1.0,XAP,Approved,-102.0,XNA,XAP,Repeater,Mobile,POS,XNA,Regional / Local,30.0,Consumer electronics,middle,2.0,0-10
100015,0,Cash loans,F,N,Y,0,38419.155,148365.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.015221,-20417,365243,-5246.0,-2512,1,0,0,1,1,0,2,2,FRIDAY,7,0,0,0,0,0,0,XNA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10678.5,0.5551831615131809,5473351.0,Closed,currency 1,-319.0,0.0,0.0,0.0,Consumer credit,-3.0,More than 250,-319.0,,,1027737.0,Consumer loans,68850.0,WEDNESDAY,8.0,Y,1.0,XAP,Approved,-2396.0,Cash through the bank,XAP,New,Furniture,POS,XNA,Stone,110.0,Furniture,middle,1.0,0-10
